business_date,channel,item_name,item_category,quantity,gross_sales_amount,discount_amount,net_sales_amount
2026-03-04,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-04,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-05,offline_pos,아메리카노,coffee,27,121500,2430,119070
2026-03-05,offline_pos,카페라떼,coffee,17,91800,1836,89964
2026-03-05,offline_pos,바닐라라떼,coffee,9,53100,1062,52038
2026-03-05,offline_pos,콜드브루,coffee,8,44800,896,43904
2026-03-05,offline_pos,말차라떼,non_coffee,7,43400,868,42532
2026-03-05,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-05,offline_pos,소금빵,bakery,7,26600,532,26068
2026-03-05,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-05,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-05,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-06,offline_pos,아메리카노,coffee,37,166500,3330,163170
2026-03-06,offline_pos,카페라떼,coffee,23,124200,2484,121716
2026-03-06,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-03-06,offline_pos,콜드브루,coffee,12,67200,1344,65856
2026-03-06,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-06,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-03-06,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-06,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-06,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-06,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-07,offline_pos,아메리카노,coffee,36,162000,3240,158760
2026-03-07,offline_pos,카페라떼,coffee,22,118800,2376,116424
2026-03-07,offline_pos,바닐라라떼,coffee,12,70800,1416,69384
2026-03-07,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-07,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-07,offline_pos,레몬에이드,non_coffee,7,42700,854,41846
2026-03-07,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-07,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-07,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-07,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-08,offline_pos,아메리카노,coffee,38,171000,3420,167580
2026-03-08,offline_pos,카페라떼,coffee,23,124200,2484,121716
2026-03-08,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-03-08,offline_pos,콜드브루,coffee,12,67200,1344,65856
2026-03-08,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-08,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-03-08,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-08,offline_pos,휘낭시에,bakery,7,22400,448,21952
2026-03-08,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-08,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-09,offline_pos,아메리카노,coffee,22,99000,1980,97020
2026-03-09,offline_pos,카페라떼,coffee,14,75600,1512,74088
2026-03-09,offline_pos,바닐라라떼,coffee,8,47200,944,46256
2026-03-09,offline_pos,콜드브루,coffee,7,39200,784,38416
2026-03-09,offline_pos,말차라떼,non_coffee,6,37200,744,36456
2026-03-09,offline_pos,레몬에이드,non_coffee,5,30500,610,29890
2026-03-09,offline_pos,소금빵,bakery,6,22800,456,22344
2026-03-09,offline_pos,휘낭시에,bakery,4,12800,256,12544
2026-03-09,offline_pos,크로플,bakery,3,20400,408,19992
2026-03-09,offline_pos,샌드위치,food,2,17000,340,16660
2026-03-10,offline_pos,아메리카노,coffee,29,130500,2610,127890
2026-03-10,offline_pos,카페라떼,coffee,18,97200,1944,95256
2026-03-10,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-03-10,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-03-10,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-03-10,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-10,offline_pos,소금빵,bakery,8,30400,608,29792
2026-03-10,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-10,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-10,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-11,offline_pos,아메리카노,coffee,28,126000,2520,123480
2026-03-11,offline_pos,카페라떼,coffee,17,91800,1836,89964
2026-03-11,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-03-11,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-03-11,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-03-11,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-11,offline_pos,소금빵,bakery,8,30400,608,29792
2026-03-11,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-11,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-11,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-12,offline_pos,아메리카노,coffee,30,135000,2700,132300
2026-03-12,offline_pos,카페라떼,coffee,18,97200,1944,95256
2026-03-12,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-03-12,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-03-12,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-03-12,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-12,offline_pos,소금빵,bakery,8,30400,608,29792
2026-03-12,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-12,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-12,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-13,offline_pos,아메리카노,coffee,37,166500,3330,163170
2026-03-13,offline_pos,카페라떼,coffee,23,124200,2484,121716
2026-03-13,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-03-13,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-13,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-13,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-03-13,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-13,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-13,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-13,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-14,offline_pos,아메리카노,coffee,35,157500,3150,154350
2026-03-14,offline_pos,카페라떼,coffee,22,118800,2376,116424
2026-03-14,offline_pos,바닐라라떼,coffee,12,70800,1416,69384
2026-03-14,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-14,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-14,offline_pos,레몬에이드,non_coffee,7,42700,854,41846
2026-03-14,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-14,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-14,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-14,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-15,offline_pos,아메리카노,coffee,37,166500,3330,163170
2026-03-15,offline_pos,카페라떼,coffee,23,124200,2484,121716
2026-03-15,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-03-15,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-15,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-15,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-03-15,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-15,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-15,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-15,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-16,offline_pos,아메리카노,coffee,21,94500,1890,92610
2026-03-16,offline_pos,카페라떼,coffee,13,70200,1404,68796
2026-03-16,offline_pos,바닐라라떼,coffee,7,41300,826,40474
2026-03-16,offline_pos,콜드브루,coffee,7,39200,784,38416
2026-03-16,offline_pos,말차라떼,non_coffee,6,37200,744,36456
2026-03-16,offline_pos,레몬에이드,non_coffee,4,24400,488,23912
2026-03-16,offline_pos,소금빵,bakery,6,22800,456,22344
2026-03-16,offline_pos,휘낭시에,bakery,4,12800,256,12544
2026-03-16,offline_pos,크로플,bakery,3,20400,408,19992
2026-03-16,offline_pos,샌드위치,food,2,17000,340,16660
2026-03-17,offline_pos,아메리카노,coffee,28,126000,2520,123480
2026-03-17,offline_pos,카페라떼,coffee,18,97200,1944,95256
2026-03-17,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-03-17,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-03-17,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-03-17,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-17,offline_pos,소금빵,bakery,8,30400,608,29792
2026-03-17,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-17,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-17,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-18,offline_pos,아메리카노,coffee,27,121500,2430,119070
2026-03-18,offline_pos,카페라떼,coffee,17,91800,1836,89964
2026-03-18,offline_pos,바닐라라떼,coffee,9,53100,1062,52038
2026-03-18,offline_pos,콜드브루,coffee,8,44800,896,43904
2026-03-18,offline_pos,말차라떼,non_coffee,7,43400,868,42532
2026-03-18,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-18,offline_pos,소금빵,bakery,7,26600,532,26068
2026-03-18,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-18,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-18,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-19,offline_pos,아메리카노,coffee,29,130500,2610,127890
2026-03-19,offline_pos,카페라떼,coffee,18,97200,1944,95256
2026-03-19,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-03-19,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-03-19,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-03-19,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-19,offline_pos,소금빵,bakery,8,30400,608,29792
2026-03-19,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-19,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-19,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-20,offline_pos,아메리카노,coffee,36,162000,3240,158760
2026-03-20,offline_pos,카페라떼,coffee,22,118800,2376,116424
2026-03-20,offline_pos,바닐라라떼,coffee,12,70800,1416,69384
2026-03-20,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-20,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-20,offline_pos,레몬에이드,non_coffee,7,42700,854,41846
2026-03-20,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-20,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-20,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-20,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-21,offline_pos,아메리카노,coffee,38,171000,3420,167580
2026-03-21,offline_pos,카페라떼,coffee,23,124200,2484,121716
2026-03-21,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-03-21,offline_pos,콜드브루,coffee,12,67200,1344,65856
2026-03-21,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-21,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-03-21,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-21,offline_pos,휘낭시에,bakery,7,22400,448,21952
2026-03-21,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-21,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-22,offline_pos,아메리카노,coffee,36,162000,3240,158760
2026-03-22,offline_pos,카페라떼,coffee,22,118800,2376,116424
2026-03-22,offline_pos,바닐라라떼,coffee,12,70800,1416,69384
2026-03-22,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-22,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-22,offline_pos,레몬에이드,non_coffee,7,42700,854,41846
2026-03-22,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-22,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-22,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-22,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-23,offline_pos,아메리카노,coffee,24,108000,2160,105840
2026-03-23,offline_pos,카페라떼,coffee,15,81000,1620,79380
2026-03-23,offline_pos,바닐라라떼,coffee,8,47200,944,46256
2026-03-23,offline_pos,콜드브루,coffee,7,39200,784,38416
2026-03-23,offline_pos,말차라떼,non_coffee,7,43400,868,42532
2026-03-23,offline_pos,레몬에이드,non_coffee,5,30500,610,29890
2026-03-23,offline_pos,소금빵,bakery,7,26600,532,26068
2026-03-23,offline_pos,휘낭시에,bakery,4,12800,256,12544
2026-03-23,offline_pos,크로플,bakery,3,20400,408,19992
2026-03-23,offline_pos,샌드위치,food,2,17000,340,16660
2026-03-24,offline_pos,아메리카노,coffee,28,126000,2520,123480
2026-03-24,offline_pos,카페라떼,coffee,17,91800,1836,89964
2026-03-24,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-03-24,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-03-24,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-03-24,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-24,offline_pos,소금빵,bakery,8,30400,608,29792
2026-03-24,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-24,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-24,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-25,offline_pos,아메리카노,coffee,30,135000,2700,132300
2026-03-25,offline_pos,카페라떼,coffee,18,97200,1944,95256
2026-03-25,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-03-25,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-03-25,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-03-25,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-25,offline_pos,소금빵,bakery,8,30400,608,29792
2026-03-25,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-25,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-25,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-26,offline_pos,아메리카노,coffee,28,126000,2520,123480
2026-03-26,offline_pos,카페라떼,coffee,17,91800,1836,89964
2026-03-26,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-03-26,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-03-26,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-03-26,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-26,offline_pos,소금빵,bakery,8,30400,608,29792
2026-03-26,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-26,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-26,offline_pos,샌드위치,food,3,25500,510,24990
2026-03-27,offline_pos,아메리카노,coffee,35,157500,3150,154350
2026-03-27,offline_pos,카페라떼,coffee,22,118800,2376,116424
2026-03-27,offline_pos,바닐라라떼,coffee,12,70800,1416,69384
2026-03-27,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-27,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-27,offline_pos,레몬에이드,non_coffee,7,42700,854,41846
2026-03-27,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-27,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-27,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-27,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-28,offline_pos,아메리카노,coffee,37,166500,3330,163170
2026-03-28,offline_pos,카페라떼,coffee,23,124200,2484,121716
2026-03-28,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-03-28,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-28,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-28,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-03-28,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-28,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-28,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-28,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-29,offline_pos,아메리카노,coffee,35,157500,3150,154350
2026-03-29,offline_pos,카페라떼,coffee,22,118800,2376,116424
2026-03-29,offline_pos,바닐라라떼,coffee,12,70800,1416,69384
2026-03-29,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-03-29,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-03-29,offline_pos,레몬에이드,non_coffee,7,42700,854,41846
2026-03-29,offline_pos,소금빵,bakery,10,38000,760,37240
2026-03-29,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-03-29,offline_pos,크로플,bakery,5,34000,680,33320
2026-03-29,offline_pos,샌드위치,food,4,34000,680,33320
2026-03-30,offline_pos,아메리카노,coffee,23,103500,2070,101430
2026-03-30,offline_pos,카페라떼,coffee,14,75600,1512,74088
2026-03-30,offline_pos,바닐라라떼,coffee,8,47200,944,46256
2026-03-30,offline_pos,콜드브루,coffee,7,39200,784,38416
2026-03-30,offline_pos,말차라떼,non_coffee,6,37200,744,36456
2026-03-30,offline_pos,레몬에이드,non_coffee,5,30500,610,29890
2026-03-30,offline_pos,소금빵,bakery,6,22800,456,22344
2026-03-30,offline_pos,휘낭시에,bakery,4,12800,256,12544
2026-03-30,offline_pos,크로플,bakery,3,20400,408,19992
2026-03-30,offline_pos,샌드위치,food,2,17000,340,16660
2026-03-31,offline_pos,아메리카노,coffee,27,121500,2430,119070
2026-03-31,offline_pos,카페라떼,coffee,17,91800,1836,89964
2026-03-31,offline_pos,바닐라라떼,coffee,9,53100,1062,52038
2026-03-31,offline_pos,콜드브루,coffee,8,44800,896,43904
2026-03-31,offline_pos,말차라떼,non_coffee,7,43400,868,42532
2026-03-31,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-03-31,offline_pos,소금빵,bakery,7,26600,532,26068
2026-03-31,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-03-31,offline_pos,크로플,bakery,4,27200,544,26656
2026-03-31,offline_pos,샌드위치,food,3,25500,510,24990
2026-04-01,offline_pos,아메리카노,coffee,29,130500,2610,127890
2026-04-01,offline_pos,카페라떼,coffee,18,97200,1944,95256
2026-04-01,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-04-01,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-04-01,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-04-01,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-04-01,offline_pos,소금빵,bakery,8,30400,608,29792
2026-04-01,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-04-01,offline_pos,크로플,bakery,4,27200,544,26656
2026-04-01,offline_pos,샌드위치,food,3,25500,510,24990
2026-04-02,offline_pos,아메리카노,coffee,27,121500,2430,119070
2026-04-02,offline_pos,카페라떼,coffee,17,91800,1836,89964
2026-04-02,offline_pos,바닐라라떼,coffee,9,53100,1062,52038
2026-04-02,offline_pos,콜드브루,coffee,8,44800,896,43904
2026-04-02,offline_pos,말차라떼,non_coffee,7,43400,868,42532
2026-04-02,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-04-02,offline_pos,소금빵,bakery,7,26600,532,26068
2026-04-02,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-04-02,offline_pos,크로플,bakery,4,27200,544,26656
2026-04-02,offline_pos,샌드위치,food,3,25500,510,24990
2026-04-03,offline_pos,아메리카노,coffee,38,171000,3420,167580
2026-04-03,offline_pos,카페라떼,coffee,23,124200,2484,121716
2026-04-03,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-04-03,offline_pos,콜드브루,coffee,12,67200,1344,65856
2026-04-03,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-04-03,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-04-03,offline_pos,소금빵,bakery,10,38000,760,37240
2026-04-03,offline_pos,휘낭시에,bakery,7,22400,448,21952
2026-04-03,offline_pos,크로플,bakery,5,34000,680,33320
2026-04-03,offline_pos,샌드위치,food,4,34000,680,33320
2026-04-04,offline_pos,아메리카노,coffee,36,162000,3240,158760
2026-04-04,offline_pos,카페라떼,coffee,22,118800,2376,116424
2026-04-04,offline_pos,바닐라라떼,coffee,12,70800,1416,69384
2026-04-04,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-04-04,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-04-04,offline_pos,레몬에이드,non_coffee,7,42700,854,41846
2026-04-04,offline_pos,소금빵,bakery,10,38000,760,37240
2026-04-04,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-04-04,offline_pos,크로플,bakery,5,34000,680,33320
2026-04-04,offline_pos,샌드위치,food,4,34000,680,33320
2026-04-05,offline_pos,아메리카노,coffee,38,171000,3420,167580
2026-04-05,offline_pos,카페라떼,coffee,24,129600,2592,127008
2026-04-05,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-04-05,offline_pos,콜드브루,coffee,12,67200,1344,65856
2026-04-05,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-04-05,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-04-05,offline_pos,소금빵,bakery,10,38000,760,37240
2026-04-05,offline_pos,휘낭시에,bakery,7,22400,448,21952
2026-04-05,offline_pos,크로플,bakery,5,34000,680,33320
2026-04-05,offline_pos,샌드위치,food,4,34000,680,33320
2026-04-06,offline_pos,아메리카노,coffee,22,99000,1980,97020
2026-04-06,offline_pos,카페라떼,coffee,14,75600,1512,74088
2026-04-06,offline_pos,바닐라라떼,coffee,8,47200,944,46256
2026-04-06,offline_pos,콜드브루,coffee,7,39200,784,38416
2026-04-06,offline_pos,말차라떼,non_coffee,6,37200,744,36456
2026-04-06,offline_pos,레몬에이드,non_coffee,5,30500,610,29890
2026-04-06,offline_pos,소금빵,bakery,6,22800,456,22344
2026-04-06,offline_pos,휘낭시에,bakery,4,12800,256,12544
2026-04-06,offline_pos,크로플,bakery,3,20400,408,19992
2026-04-06,offline_pos,샌드위치,food,2,17000,340,16660
2026-04-07,offline_pos,아메리카노,coffee,30,135000,2700,132300
2026-04-07,offline_pos,카페라떼,coffee,18,97200,1944,95256
2026-04-07,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-04-07,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-04-07,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-04-07,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-04-07,offline_pos,소금빵,bakery,8,30400,608,29792
2026-04-07,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-04-07,offline_pos,크로플,bakery,4,27200,544,26656
2026-04-07,offline_pos,샌드위치,food,3,25500,510,24990
2026-04-08,offline_pos,아메리카노,coffee,28,126000,2520,123480
2026-04-08,offline_pos,카페라떼,coffee,17,91800,1836,89964
2026-04-08,offline_pos,바닐라라떼,coffee,10,59000,1180,57820
2026-04-08,offline_pos,콜드브루,coffee,9,50400,1008,49392
2026-04-08,offline_pos,말차라떼,non_coffee,8,49600,992,48608
2026-04-08,offline_pos,레몬에이드,non_coffee,6,36600,732,35868
2026-04-08,offline_pos,소금빵,bakery,8,30400,608,29792
2026-04-08,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-04-08,offline_pos,크로플,bakery,4,27200,544,26656
2026-04-08,offline_pos,샌드위치,food,3,25500,510,24990
2026-04-09,offline_pos,아메리카노,coffee,26,117000,2340,114660
2026-04-09,offline_pos,카페라떼,coffee,16,86400,1728,84672
2026-04-09,offline_pos,바닐라라떼,coffee,9,53100,1062,52038
2026-04-09,offline_pos,콜드브루,coffee,8,44800,896,43904
2026-04-09,offline_pos,말차라떼,non_coffee,7,43400,868,42532
2026-04-09,offline_pos,레몬에이드,non_coffee,5,30500,610,29890
2026-04-09,offline_pos,소금빵,bakery,7,26600,532,26068
2026-04-09,offline_pos,휘낭시에,bakery,5,16000,320,15680
2026-04-09,offline_pos,크로플,bakery,4,27200,544,26656
2026-04-09,offline_pos,샌드위치,food,3,25500,510,24990
2026-04-10,offline_pos,아메리카노,coffee,37,166500,3330,163170
2026-04-10,offline_pos,카페라떼,coffee,23,124200,2484,121716
2026-04-10,offline_pos,바닐라라떼,coffee,13,76700,1534,75166
2026-04-10,offline_pos,콜드브루,coffee,11,61600,1232,60368
2026-04-10,offline_pos,말차라떼,non_coffee,10,62000,1240,60760
2026-04-10,offline_pos,레몬에이드,non_coffee,8,48800,976,47824
2026-04-10,offline_pos,소금빵,bakery,10,38000,760,37240
2026-04-10,offline_pos,휘낭시에,bakery,6,19200,384,18816
2026-04-10,offline_pos,크로플,bakery,5,34000,680,33320
2026-04-10,offline_pos,샌드위치,food,4,34000,680,33320
2026-04-11,offline_pos,아메리카노,coffee,35,157500,3150,154350
2026-04-11,offline_pos,카페라떼,coffee,22,118800,2376,116424
