business_date,channel,gross_sales_amount,net_sales_amount,order_count,cancel_count,refund_amount,discount_amount,payment_card_amount,payment_cash_amount,payment_simple_amount,pattern_note
2026-03-30,offline_pos,734160,705528,80,1,10278,18354,620865,35276,49387,
2026-03-31,offline_pos,909880,881674,92,1,5459,22747,775873,44084,61717,
2026-04-01,offline_pos,990297,957618,99,1,7922,24757,842704,47881,67033,
2026-04-02,offline_pos,857088,827090,93,1,8571,21427,727839,41355,57896,
2026-04-03,offline_pos,1342770,1293088,130,1,16113,33569,1137917,64654,90516,
2026-04-04,offline_pos,1294808,1244311,124,1,18127,32370,1094994,62216,87102,
2026-04-05,offline_pos,1382705,1339841,131,1,8296,34568,1179060,66992,93789,
2026-04-06,offline_pos,698236,675194,77,1,5586,17456,594171,33760,47264,
2026-04-07,offline_pos,997662,962743,102,1,9977,24942,847214,48137,67392,
2026-04-08,offline_pos,949824,914680,96,1,11398,23746,804918,45734,64028,
2026-04-09,offline_pos,900630,865505,90,1,12609,22516,761644,43275,60585,
2026-04-10,offline_pos,1297940,1257703,127,1,7788,32449,1106779,62885,88039,
2026-04-11,offline_pos,1250293,1209034,121,1,10002,31257,1063950,60452,84632,
2026-04-12,offline_pos,1337088,1290290,128,1,13371,33427,1135455,64515,90320,
2026-04-13,offline_pos,662966,638436,74,1,7956,16574,561824,31922,44691,
2026-04-14,offline_pos,957528,920185,99,1,13405,23938,809763,46009,64413,
2026-04-15,offline_pos,743660,720606,76,1,4462,18592,634133,36030,50442,rain_day_visible_anomaly
2026-04-16,offline_pos,811636,784852,82,1,6493,20291,690670,39243,54940,rain_day_visible_anomaly
2026-04-17,offline_pos,1123122,1083813,102,1,11231,28078,953755,54191,75867,rain_day_visible_anomaly
2026-04-18,offline_pos,1093968,1053491,107,1,13128,27349,927072,52675,73744,rain_day_visible_anomaly
2026-04-19,offline_pos,1064711,1023187,103,1,14906,26618,900405,51159,71623,rain_day_visible_anomaly
2026-04-20,offline_pos,610650,591720,69,1,3664,15266,520714,29586,41420,rain_day_visible_anomaly
2026-04-21,offline_pos,755477,730546,79,1,6044,18887,642880,36527,51138,rain_day_visible_anomaly
2026-04-22,offline_pos,870840,840361,90,1,8708,21771,739518,42018,58825,
2026-04-23,offline_pos,949533,914401,97,1,11394,23738,804673,45720,64008,
2026-04-24,offline_pos,1319142,1267695,121,1,18468,32979,1115572,63385,88739,
2026-04-25,offline_pos,1409920,1366212,128,1,8460,35248,1202267,68311,95635,
2026-04-26,offline_pos,1247816,1206638,122,1,9983,31195,1061841,60332,84465,
2026-04-27,offline_pos,708021,683240,81,1,7080,17701,601251,34162,47827,
2026-04-28,offline_pos,973762,903651,103,1,11685,58426,795213,45183,63256,promotion_period
2026-04-29,offline_pos,1061937,983354,111,1,14867,63716,865352,49168,68835,promotion_period
2026-04-30,offline_pos,1006720,940277,104,1,6040,60403,827444,47014,65819,promotion_period
2026-05-01,offline_pos,1564985,1458566,145,1,12520,93899,1283538,72928,102100,promotion_period
2026-05-02,offline_pos,1515934,1409819,139,1,15159,90956,1240641,70491,98687,promotion_period
2026-05-03,offline_pos,1619793,1503167,147,1,19438,97188,1322787,75158,105222,promotion_period
2026-05-04,offline_pos,750984,695411,87,1,10514,45059,611962,34771,48679,promotion_period
2026-05-05,offline_pos,883103,855726,90,1,5299,22078,753039,42786,59901,hot_day_iced_lift
2026-05-06,offline_pos,963297,931509,97,1,7706,24082,819728,46575,65206,hot_day_iced_lift
2026-05-07,offline_pos,914509,882501,91,1,9145,22863,776601,44125,61775,hot_day_iced_lift
2026-05-08,offline_pos,1435930,1382801,128,1,17231,35898,1216865,69140,96796,hot_day_iced_lift
2026-05-09,offline_pos,1383096,1329156,122,1,19363,34577,1169657,66458,93041,hot_day_iced_lift
2026-05-10,offline_pos,1477760,1431949,129,1,8867,36944,1260115,71597,100236,hot_day_iced_lift
2026-05-11,offline_pos,742061,717573,75,1,5936,18552,631464,35879,50230,hot_day_iced_lift
2026-05-12,offline_pos,969780,935837,100,1,9698,24245,823537,46792,65509,hot_day_iced_lift
2026-05-13,offline_pos,922746,888604,94,1,11073,23069,781972,44430,62202,hot_day_iced_lift
2026-05-14,offline_pos,1003445,964311,101,1,14048,25086,848594,48216,67502,hot_day_iced_lift
