order_date,product_name,product_category,quantity,gross_amount,net_amount
2026-03-06,레몬에이드,non_coffee,8,48800,47824
2026-03-06,소금빵,bakery,10,38000,37240
2026-03-06,휘낭시에,bakery,6,19200,18816
2026-03-06,크로플,bakery,5,34000,33320
2026-03-06,샌드위치,food,4,34000,33320
2026-03-07,아메리카노,coffee,36,162000,158760
2026-03-07,카페라떼,coffee,22,118800,116424
2026-03-07,바닐라라떼,coffee,12,70800,69384
2026-03-07,콜드브루,coffee,11,61600,60368
2026-03-07,말차라떼,non_coffee,10,62000,60760
2026-03-07,레몬에이드,non_coffee,7,42700,41846
2026-03-07,소금빵,bakery,10,38000,37240
2026-03-07,휘낭시에,bakery,6,19200,18816
2026-03-07,크로플,bakery,5,34000,33320
2026-03-07,샌드위치,food,4,34000,33320
2026-03-08,아메리카노,coffee,38,171000,167580
2026-03-08,카페라떼,coffee,23,124200,121716
2026-03-08,바닐라라떼,coffee,13,76700,75166
2026-03-08,콜드브루,coffee,12,67200,65856
2026-03-08,말차라떼,non_coffee,10,62000,60760
2026-03-08,레몬에이드,non_coffee,8,48800,47824
2026-03-08,소금빵,bakery,10,38000,37240
2026-03-08,휘낭시에,bakery,7,22400,21952
2026-03-08,크로플,bakery,5,34000,33320
2026-03-08,샌드위치,food,4,34000,33320
2026-03-09,아메리카노,coffee,22,99000,97020
2026-03-09,카페라떼,coffee,14,75600,74088
2026-03-09,바닐라라떼,coffee,8,47200,46256
2026-03-09,콜드브루,coffee,7,39200,38416
2026-03-09,말차라떼,non_coffee,6,37200,36456
2026-03-09,레몬에이드,non_coffee,5,30500,29890
2026-03-09,소금빵,bakery,6,22800,22344
2026-03-09,휘낭시에,bakery,4,12800,12544
2026-03-09,크로플,bakery,3,20400,19992
2026-03-09,샌드위치,food,2,17000,16660
2026-03-10,아메리카노,coffee,29,130500,127890
2026-03-10,카페라떼,coffee,18,97200,95256
2026-03-10,바닐라라떼,coffee,10,59000,57820
2026-03-10,콜드브루,coffee,9,50400,49392
2026-03-10,말차라떼,non_coffee,8,49600,48608
2026-03-10,레몬에이드,non_coffee,6,36600,35868
2026-03-10,소금빵,bakery,8,30400,29792
2026-03-10,휘낭시에,bakery,5,16000,15680
2026-03-10,크로플,bakery,4,27200,26656
2026-03-10,샌드위치,food,3,25500,24990
2026-03-11,아메리카노,coffee,28,126000,123480
2026-03-11,카페라떼,coffee,17,91800,89964
2026-03-11,바닐라라떼,coffee,10,59000,57820
2026-03-11,콜드브루,coffee,9,50400,49392
2026-03-11,말차라떼,non_coffee,8,49600,48608
2026-03-11,레몬에이드,non_coffee,6,36600,35868
2026-03-11,소금빵,bakery,8,30400,29792
2026-03-11,휘낭시에,bakery,5,16000,15680
2026-03-11,크로플,bakery,4,27200,26656
2026-03-11,샌드위치,food,3,25500,24990
2026-03-12,아메리카노,coffee,30,135000,132300
2026-03-12,카페라떼,coffee,18,97200,95256
2026-03-12,바닐라라떼,coffee,10,59000,57820
2026-03-12,콜드브루,coffee,9,50400,49392
2026-03-12,말차라떼,non_coffee,8,49600,48608
2026-03-12,레몬에이드,non_coffee,6,36600,35868
2026-03-12,소금빵,bakery,8,30400,29792
2026-03-12,휘낭시에,bakery,5,16000,15680
2026-03-12,크로플,bakery,4,27200,26656
2026-03-12,샌드위치,food,3,25500,24990
2026-03-13,아메리카노,coffee,37,166500,163170
2026-03-13,카페라떼,coffee,23,124200,121716
2026-03-13,바닐라라떼,coffee,13,76700,75166
2026-03-13,콜드브루,coffee,11,61600,60368
2026-03-13,말차라떼,non_coffee,10,62000,60760
2026-03-13,레몬에이드,non_coffee,8,48800,47824
2026-03-13,소금빵,bakery,10,38000,37240
2026-03-13,휘낭시에,bakery,6,19200,18816
2026-03-13,크로플,bakery,5,34000,33320
2026-03-13,샌드위치,food,4,34000,33320
2026-03-14,아메리카노,coffee,35,157500,154350
2026-03-14,카페라떼,coffee,22,118800,116424
2026-03-14,바닐라라떼,coffee,12,70800,69384
2026-03-14,콜드브루,coffee,11,61600,60368
2026-03-14,말차라떼,non_coffee,10,62000,60760
2026-03-14,레몬에이드,non_coffee,7,42700,41846
2026-03-14,소금빵,bakery,10,38000,37240
2026-03-14,휘낭시에,bakery,6,19200,18816
2026-03-14,크로플,bakery,5,34000,33320
2026-03-14,샌드위치,food,4,34000,33320
2026-03-15,아메리카노,coffee,37,166500,163170
2026-03-15,카페라떼,coffee,23,124200,121716
2026-03-15,바닐라라떼,coffee,13,76700,75166
2026-03-15,콜드브루,coffee,11,61600,60368
2026-03-15,말차라떼,non_coffee,10,62000,60760
2026-03-15,레몬에이드,non_coffee,8,48800,47824
2026-03-15,소금빵,bakery,10,38000,37240
2026-03-15,휘낭시에,bakery,6,19200,18816
2026-03-15,크로플,bakery,5,34000,33320
2026-03-15,샌드위치,food,4,34000,33320
2026-03-16,아메리카노,coffee,21,94500,92610
2026-03-16,카페라떼,coffee,13,70200,68796
2026-03-16,바닐라라떼,coffee,7,41300,40474
2026-03-16,콜드브루,coffee,7,39200,38416
2026-03-16,말차라떼,non_coffee,6,37200,36456
2026-03-16,레몬에이드,non_coffee,4,24400,23912
2026-03-16,소금빵,bakery,6,22800,22344
2026-03-16,휘낭시에,bakery,4,12800,12544
2026-03-16,크로플,bakery,3,20400,19992
2026-03-16,샌드위치,food,2,17000,16660
2026-03-17,아메리카노,coffee,28,126000,123480
2026-03-17,카페라떼,coffee,18,97200,95256
2026-03-17,바닐라라떼,coffee,10,59000,57820
2026-03-17,콜드브루,coffee,9,50400,49392
2026-03-17,말차라떼,non_coffee,8,49600,48608
2026-03-17,레몬에이드,non_coffee,6,36600,35868
2026-03-17,소금빵,bakery,8,30400,29792
2026-03-17,휘낭시에,bakery,5,16000,15680
2026-03-17,크로플,bakery,4,27200,26656
2026-03-17,샌드위치,food,3,25500,24990
2026-03-18,아메리카노,coffee,27,121500,119070
2026-03-18,카페라떼,coffee,17,91800,89964
2026-03-18,바닐라라떼,coffee,9,53100,52038
2026-03-18,콜드브루,coffee,8,44800,43904
2026-03-18,말차라떼,non_coffee,7,43400,42532
2026-03-18,레몬에이드,non_coffee,6,36600,35868
2026-03-18,소금빵,bakery,7,26600,26068
2026-03-18,휘낭시에,bakery,5,16000,15680
2026-03-18,크로플,bakery,4,27200,26656
2026-03-18,샌드위치,food,3,25500,24990
2026-03-19,아메리카노,coffee,29,130500,127890
2026-03-19,카페라떼,coffee,18,97200,95256
2026-03-19,바닐라라떼,coffee,10,59000,57820
2026-03-19,콜드브루,coffee,9,50400,49392
2026-03-19,말차라떼,non_coffee,8,49600,48608
2026-03-19,레몬에이드,non_coffee,6,36600,35868
2026-03-19,소금빵,bakery,8,30400,29792
2026-03-19,휘낭시에,bakery,5,16000,15680
2026-03-19,크로플,bakery,4,27200,26656
2026-03-19,샌드위치,food,3,25500,24990
2026-03-20,아메리카노,coffee,36,162000,158760
2026-03-20,카페라떼,coffee,22,118800,116424
2026-03-20,바닐라라떼,coffee,12,70800,69384
2026-03-20,콜드브루,coffee,11,61600,60368
2026-03-20,말차라떼,non_coffee,10,62000,60760
2026-03-20,레몬에이드,non_coffee,7,42700,41846
2026-03-20,소금빵,bakery,10,38000,37240
2026-03-20,휘낭시에,bakery,6,19200,18816
2026-03-20,크로플,bakery,5,34000,33320
2026-03-20,샌드위치,food,4,34000,33320
2026-03-21,아메리카노,coffee,38,171000,167580
2026-03-21,카페라떼,coffee,23,124200,121716
2026-03-21,바닐라라떼,coffee,13,76700,75166
2026-03-21,콜드브루,coffee,12,67200,65856
2026-03-21,말차라떼,non_coffee,10,62000,60760
2026-03-21,레몬에이드,non_coffee,8,48800,47824
2026-03-21,소금빵,bakery,10,38000,37240
2026-03-21,휘낭시에,bakery,7,22400,21952
2026-03-21,크로플,bakery,5,34000,33320
2026-03-21,샌드위치,food,4,34000,33320
2026-03-22,아메리카노,coffee,36,162000,158760
2026-03-22,카페라떼,coffee,22,118800,116424
2026-03-22,바닐라라떼,coffee,12,70800,69384
2026-03-22,콜드브루,coffee,11,61600,60368
2026-03-22,말차라떼,non_coffee,10,62000,60760
2026-03-22,레몬에이드,non_coffee,7,42700,41846
2026-03-22,소금빵,bakery,10,38000,37240
2026-03-22,휘낭시에,bakery,6,19200,18816
2026-03-22,크로플,bakery,5,34000,33320
2026-03-22,샌드위치,food,4,34000,33320
2026-03-23,아메리카노,coffee,24,108000,105840
2026-03-23,카페라떼,coffee,15,81000,79380
2026-03-23,바닐라라떼,coffee,8,47200,46256
2026-03-23,콜드브루,coffee,7,39200,38416
2026-03-23,말차라떼,non_coffee,7,43400,42532
2026-03-23,레몬에이드,non_coffee,5,30500,29890
2026-03-23,소금빵,bakery,7,26600,26068
2026-03-23,휘낭시에,bakery,4,12800,12544
2026-03-23,크로플,bakery,3,20400,19992
2026-03-23,샌드위치,food,2,17000,16660
2026-03-24,아메리카노,coffee,28,126000,123480
2026-03-24,카페라떼,coffee,17,91800,89964
2026-03-24,바닐라라떼,coffee,10,59000,57820
2026-03-24,콜드브루,coffee,9,50400,49392
2026-03-24,말차라떼,non_coffee,8,49600,48608
2026-03-24,레몬에이드,non_coffee,6,36600,35868
2026-03-24,소금빵,bakery,8,30400,29792
2026-03-24,휘낭시에,bakery,5,16000,15680
2026-03-24,크로플,bakery,4,27200,26656
2026-03-24,샌드위치,food,3,25500,24990
2026-03-25,아메리카노,coffee,30,135000,132300
2026-03-25,카페라떼,coffee,18,97200,95256
2026-03-25,바닐라라떼,coffee,10,59000,57820
2026-03-25,콜드브루,coffee,9,50400,49392
2026-03-25,말차라떼,non_coffee,8,49600,48608
2026-03-25,레몬에이드,non_coffee,6,36600,35868
2026-03-25,소금빵,bakery,8,30400,29792
2026-03-25,휘낭시에,bakery,5,16000,15680
2026-03-25,크로플,bakery,4,27200,26656
2026-03-25,샌드위치,food,3,25500,24990
2026-03-26,아메리카노,coffee,28,126000,123480
2026-03-26,카페라떼,coffee,17,91800,89964
2026-03-26,바닐라라떼,coffee,10,59000,57820
2026-03-26,콜드브루,coffee,9,50400,49392
2026-03-26,말차라떼,non_coffee,8,49600,48608
2026-03-26,레몬에이드,non_coffee,6,36600,35868
2026-03-26,소금빵,bakery,8,30400,29792
2026-03-26,휘낭시에,bakery,5,16000,15680
2026-03-26,크로플,bakery,4,27200,26656
2026-03-26,샌드위치,food,3,25500,24990
2026-03-27,아메리카노,coffee,35,157500,154350
2026-03-27,카페라떼,coffee,22,118800,116424
2026-03-27,바닐라라떼,coffee,12,70800,69384
2026-03-27,콜드브루,coffee,11,61600,60368
2026-03-27,말차라떼,non_coffee,10,62000,60760
2026-03-27,레몬에이드,non_coffee,7,42700,41846
2026-03-27,소금빵,bakery,10,38000,37240
2026-03-27,휘낭시에,bakery,6,19200,18816
2026-03-27,크로플,bakery,5,34000,33320
2026-03-27,샌드위치,food,4,34000,33320
2026-03-28,아메리카노,coffee,37,166500,163170
2026-03-28,카페라떼,coffee,23,124200,121716
2026-03-28,바닐라라떼,coffee,13,76700,75166
2026-03-28,콜드브루,coffee,11,61600,60368
2026-03-28,말차라떼,non_coffee,10,62000,60760
2026-03-28,레몬에이드,non_coffee,8,48800,47824
2026-03-28,소금빵,bakery,10,38000,37240
2026-03-28,휘낭시에,bakery,6,19200,18816
2026-03-28,크로플,bakery,5,34000,33320
2026-03-28,샌드위치,food,4,34000,33320
2026-03-29,아메리카노,coffee,35,157500,154350
2026-03-29,카페라떼,coffee,22,118800,116424
2026-03-29,바닐라라떼,coffee,12,70800,69384
2026-03-29,콜드브루,coffee,11,61600,60368
2026-03-29,말차라떼,non_coffee,10,62000,60760
2026-03-29,레몬에이드,non_coffee,7,42700,41846
2026-03-29,소금빵,bakery,10,38000,37240
2026-03-29,휘낭시에,bakery,6,19200,18816
2026-03-29,크로플,bakery,5,34000,33320
2026-03-29,샌드위치,food,4,34000,33320
2026-03-30,아메리카노,coffee,23,103500,101430
2026-03-30,카페라떼,coffee,14,75600,74088
2026-03-30,바닐라라떼,coffee,8,47200,46256
2026-03-30,콜드브루,coffee,7,39200,38416
2026-03-30,말차라떼,non_coffee,6,37200,36456
2026-03-30,레몬에이드,non_coffee,5,30500,29890
2026-03-30,소금빵,bakery,6,22800,22344
2026-03-30,휘낭시에,bakery,4,12800,12544
2026-03-30,크로플,bakery,3,20400,19992
2026-03-30,샌드위치,food,2,17000,16660
2026-03-31,아메리카노,coffee,27,121500,119070
2026-03-31,카페라떼,coffee,17,91800,89964
2026-03-31,바닐라라떼,coffee,9,53100,52038
2026-03-31,콜드브루,coffee,8,44800,43904
2026-03-31,말차라떼,non_coffee,7,43400,42532
2026-03-31,레몬에이드,non_coffee,6,36600,35868
2026-03-31,소금빵,bakery,7,26600,26068
2026-03-31,휘낭시에,bakery,5,16000,15680
2026-03-31,크로플,bakery,4,27200,26656
2026-03-31,샌드위치,food,3,25500,24990
2026-04-01,아메리카노,coffee,29,130500,127890
2026-04-01,카페라떼,coffee,18,97200,95256
2026-04-01,바닐라라떼,coffee,10,59000,57820
2026-04-01,콜드브루,coffee,9,50400,49392
2026-04-01,말차라떼,non_coffee,8,49600,48608
2026-04-01,레몬에이드,non_coffee,6,36600,35868
2026-04-01,소금빵,bakery,8,30400,29792
2026-04-01,휘낭시에,bakery,5,16000,15680
2026-04-01,크로플,bakery,4,27200,26656
2026-04-01,샌드위치,food,3,25500,24990
2026-04-02,아메리카노,coffee,27,121500,119070
2026-04-02,카페라떼,coffee,17,91800,89964
2026-04-02,바닐라라떼,coffee,9,53100,52038
2026-04-02,콜드브루,coffee,8,44800,43904
2026-04-02,말차라떼,non_coffee,7,43400,42532
2026-04-02,레몬에이드,non_coffee,6,36600,35868
2026-04-02,소금빵,bakery,7,26600,26068
2026-04-02,휘낭시에,bakery,5,16000,15680
2026-04-02,크로플,bakery,4,27200,26656
2026-04-02,샌드위치,food,3,25500,24990
2026-04-03,아메리카노,coffee,38,171000,167580
2026-04-03,카페라떼,coffee,23,124200,121716
2026-04-03,바닐라라떼,coffee,13,76700,75166
2026-04-03,콜드브루,coffee,12,67200,65856
2026-04-03,말차라떼,non_coffee,10,62000,60760
2026-04-03,레몬에이드,non_coffee,8,48800,47824
2026-04-03,소금빵,bakery,10,38000,37240
2026-04-03,휘낭시에,bakery,7,22400,21952
2026-04-03,크로플,bakery,5,34000,33320
2026-04-03,샌드위치,food,4,34000,33320
2026-04-04,아메리카노,coffee,36,162000,158760
2026-04-04,카페라떼,coffee,22,118800,116424
2026-04-04,바닐라라떼,coffee,12,70800,69384
2026-04-04,콜드브루,coffee,11,61600,60368
2026-04-04,말차라떼,non_coffee,10,62000,60760
2026-04-04,레몬에이드,non_coffee,7,42700,41846
2026-04-04,소금빵,bakery,10,38000,37240
2026-04-04,휘낭시에,bakery,6,19200,18816
2026-04-04,크로플,bakery,5,34000,33320
2026-04-04,샌드위치,food,4,34000,33320
2026-04-05,아메리카노,coffee,38,171000,167580
2026-04-05,카페라떼,coffee,24,129600,127008
2026-04-05,바닐라라떼,coffee,13,76700,75166
2026-04-05,콜드브루,coffee,12,67200,65856
2026-04-05,말차라떼,non_coffee,10,62000,60760
2026-04-05,레몬에이드,non_coffee,8,48800,47824
2026-04-05,소금빵,bakery,10,38000,37240
2026-04-05,휘낭시에,bakery,7,22400,21952
2026-04-05,크로플,bakery,5,34000,33320
2026-04-05,샌드위치,food,4,34000,33320
2026-04-06,아메리카노,coffee,22,99000,97020
2026-04-06,카페라떼,coffee,14,75600,74088
2026-04-06,바닐라라떼,coffee,8,47200,46256
2026-04-06,콜드브루,coffee,7,39200,38416
2026-04-06,말차라떼,non_coffee,6,37200,36456
2026-04-06,레몬에이드,non_coffee,5,30500,29890
2026-04-06,소금빵,bakery,6,22800,22344
2026-04-06,휘낭시에,bakery,4,12800,12544
2026-04-06,크로플,bakery,3,20400,19992
2026-04-06,샌드위치,food,2,17000,16660
2026-04-07,아메리카노,coffee,30,135000,132300
2026-04-07,카페라떼,coffee,18,97200,95256
2026-04-07,바닐라라떼,coffee,10,59000,57820
2026-04-07,콜드브루,coffee,9,50400,49392
2026-04-07,말차라떼,non_coffee,8,49600,48608
2026-04-07,레몬에이드,non_coffee,6,36600,35868
2026-04-07,소금빵,bakery,8,30400,29792
2026-04-07,휘낭시에,bakery,5,16000,15680
2026-04-07,크로플,bakery,4,27200,26656
2026-04-07,샌드위치,food,3,25500,24990
2026-04-08,아메리카노,coffee,28,126000,123480
2026-04-08,카페라떼,coffee,17,91800,89964
2026-04-08,바닐라라떼,coffee,10,59000,57820
2026-04-08,콜드브루,coffee,9,50400,49392
2026-04-08,말차라떼,non_coffee,8,49600,48608
2026-04-08,레몬에이드,non_coffee,6,36600,35868
2026-04-08,소금빵,bakery,8,30400,29792
2026-04-08,휘낭시에,bakery,5,16000,15680
2026-04-08,크로플,bakery,4,27200,26656
2026-04-08,샌드위치,food,3,25500,24990
2026-04-09,아메리카노,coffee,26,117000,114660
2026-04-09,카페라떼,coffee,16,86400,84672
2026-04-09,바닐라라떼,coffee,9,53100,52038
2026-04-09,콜드브루,coffee,8,44800,43904
2026-04-09,말차라떼,non_coffee,7,43400,42532
2026-04-09,레몬에이드,non_coffee,5,30500,29890
2026-04-09,소금빵,bakery,7,26600,26068
2026-04-09,휘낭시에,bakery,5,16000,15680
2026-04-09,크로플,bakery,4,27200,26656
2026-04-09,샌드위치,food,3,25500,24990
2026-04-10,아메리카노,coffee,37,166500,163170
2026-04-10,카페라떼,coffee,23,124200,121716
2026-04-10,바닐라라떼,coffee,13,76700,75166
2026-04-10,콜드브루,coffee,11,61600,60368
2026-04-10,말차라떼,non_coffee,10,62000,60760
2026-04-10,레몬에이드,non_coffee,8,48800,47824
2026-04-10,소금빵,bakery,10,38000,37240
2026-04-10,휘낭시에,bakery,6,19200,18816
2026-04-10,크로플,bakery,5,34000,33320
2026-04-10,샌드위치,food,4,34000,33320
2026-04-11,아메리카노,coffee,35,157500,154350
2026-04-11,카페라떼,coffee,22,118800,116424
2026-04-11,바닐라라떼,coffee,12,70800,69384
2026-04-11,콜드브루,coffee,11,61600,60368
2026-04-11,말차라떼,non_coffee,10,62000,60760
2026-04-11,레몬에이드,non_coffee,7,42700,41846
2026-04-11,소금빵,bakery,10,38000,37240
2026-04-11,휘낭시에,bakery,6,19200,18816
2026-04-11,크로플,bakery,5,34000,33320
2026-04-11,샌드위치,food,4,34000,33320
2026-04-12,아메리카노,coffee,37,166500,163170
2026-04-12,카페라떼,coffee,23,124200,121716
2026-04-12,바닐라라떼,coffee,13,76700,75166
2026-04-12,콜드브루,coffee,12,67200,65856
2026-04-12,말차라떼,non_coffee,10,62000,60760
2026-04-12,레몬에이드,non_coffee,8,48800,47824
2026-04-12,소금빵,bakery,10,38000,37240
2026-04-12,휘낭시에,bakery,6,19200,18816
2026-04-12,크로플,bakery,5,34000,33320
2026-04-12,샌드위치,food,4,34000,33320
2026-04-13,아메리카노,coffee,21,94500,92610
2026-04-13,카페라떼,coffee,13,70200,68796
2026-04-13,바닐라라떼,coffee,7,41300,40474
2026-04-13,콜드브루,coffee,7,39200,38416
2026-04-13,말차라떼,non_coffee,6,37200,36456
2026-04-13,레몬에이드,non_coffee,4,24400,23912
2026-04-13,소금빵,bakery,6,22800,22344
2026-04-13,휘낭시에,bakery,4,12800,12544
2026-04-13,크로플,bakery,3,20400,19992
2026-04-13,샌드위치,food,2,17000,16660
2026-04-14,아메리카노,coffee,29,130500,127890
2026-04-14,카페라떼,coffee,18,97200,95256
2026-04-14,바닐라라떼,coffee,10,59000,57820
2026-04-14,콜드브루,coffee,9,50400,49392
2026-04-14,말차라떼,non_coffee,8,49600,48608
2026-04-14,레몬에이드,non_coffee,6,36600,35868
2026-04-14,소금빵,bakery,8,30400,29792
2026-04-14,휘낭시에,bakery,5,16000,15680
2026-04-14,크로플,bakery,4,27200,26656
2026-04-14,샌드위치,food,3,25500,24990
2026-04-15,아메리카노,coffee,22,99000,97020
2026-04-15,카페라떼,coffee,14,75600,74088
2026-04-15,바닐라라떼,coffee,8,47200,46256
2026-04-15,콜드브루,coffee,7,39200,38416
2026-04-15,말차라떼,non_coffee,6,37200,36456
2026-04-15,레몬에이드,non_coffee,5,30500,29890
2026-04-15,소금빵,bakery,5,19000,18620
2026-04-15,휘낭시에,bakery,3,9600,9408
2026-04-15,크로플,bakery,3,20400,19992
2026-04-15,샌드위치,food,2,17000,16660
2026-04-16,아메리카노,coffee,24,108000,105840
2026-04-16,카페라떼,coffee,15,81000,79380
2026-04-16,바닐라라떼,coffee,8,47200,46256
2026-04-16,콜드브루,coffee,7,39200,38416
2026-04-16,말차라떼,non_coffee,7,43400,42532
2026-04-16,레몬에이드,non_coffee,5,30500,29890
2026-04-16,소금빵,bakery,6,22800,22344
2026-04-16,휘낭시에,bakery,3,9600,9408
2026-04-16,크로플,bakery,3,20400,19992
2026-04-16,샌드위치,food,2,17000,16660
2026-04-17,아메리카노,coffee,30,135000,132300
2026-04-17,카페라떼,coffee,18,97200,95256
2026-04-17,바닐라라떼,coffee,10,59000,57820
2026-04-17,콜드브루,coffee,9,50400,49392
2026-04-17,말차라떼,non_coffee,8,49600,48608
2026-04-17,레몬에이드,non_coffee,6,36600,35868
2026-04-17,소금빵,bakery,7,26600,26068
2026-04-17,휘낭시에,bakery,4,12800,12544
2026-04-17,크로플,bakery,3,20400,19992
2026-04-17,샌드위치,food,3,25500,24990
2026-04-18,아메리카노,coffee,31,139500,136710
2026-04-18,카페라떼,coffee,19,102600,100548
2026-04-18,바닐라라떼,coffee,11,64900,63602
2026-04-18,콜드브루,coffee,10,56000,54880
2026-04-18,말차라떼,non_coffee,9,55800,54684
2026-04-18,레몬에이드,non_coffee,6,36600,35868
2026-04-18,소금빵,bakery,7,26600,26068
2026-04-18,휘낭시에,bakery,5,16000,15680
2026-04-18,크로플,bakery,4,27200,26656
2026-04-18,샌드위치,food,3,25500,24990
2026-04-19,아메리카노,coffee,30,135000,132300
2026-04-19,카페라떼,coffee,19,102600,100548
2026-04-19,바닐라라떼,coffee,10,59000,57820
2026-04-19,콜드브루,coffee,9,50400,49392
2026-04-19,말차라떼,non_coffee,8,49600,48608
2026-04-19,레몬에이드,non_coffee,6,36600,35868
2026-04-19,소금빵,bakery,7,26600,26068
2026-04-19,휘낭시에,bakery,4,12800,12544
2026-04-19,크로플,bakery,4,27200,26656
2026-04-19,샌드위치,food,3,25500,24990
2026-04-20,아메리카노,coffee,20,90000,88200
2026-04-20,카페라떼,coffee,12,64800,63504
2026-04-20,바닐라라떼,coffee,7,41300,40474
2026-04-20,콜드브루,coffee,6,33600,32928
2026-04-20,말차라떼,non_coffee,6,37200,36456
2026-04-20,레몬에이드,non_coffee,4,24400,23912
2026-04-20,소금빵,bakery,5,19000,18620
2026-04-20,휘낭시에,bakery,3,9600,9408
2026-04-20,크로플,bakery,2,13600,13328
2026-04-20,샌드위치,food,2,17000,16660
2026-04-21,아메리카노,coffee,23,103500,101430
2026-04-21,카페라떼,coffee,14,75600,74088
2026-04-21,바닐라라떼,coffee,8,47200,46256
2026-04-21,콜드브루,coffee,7,39200,38416
2026-04-21,말차라떼,non_coffee,6,37200,36456
2026-04-21,레몬에이드,non_coffee,5,30500,29890
2026-04-21,소금빵,bakery,5,19000,18620
2026-04-21,휘낭시에,bakery,3,9600,9408
2026-04-21,크로플,bakery,3,20400,19992
2026-04-21,샌드위치,food,2,17000,16660
2026-04-22,아메리카노,coffee,26,117000,114660
2026-04-22,카페라떼,coffee,16,86400,84672
2026-04-22,바닐라라떼,coffee,9,53100,52038
2026-04-22,콜드브루,coffee,8,44800,43904
2026-04-22,말차라떼,non_coffee,7,43400,42532
2026-04-22,레몬에이드,non_coffee,5,30500,29890
2026-04-22,소금빵,bakery,7,26600,26068
2026-04-22,휘낭시에,bakery,5,16000,15680
2026-04-22,크로플,bakery,4,27200,26656
2026-04-22,샌드위치,food,3,25500,24990
2026-04-23,아메리카노,coffee,28,126000,123480
2026-04-23,카페라떼,coffee,17,91800,89964
2026-04-23,바닐라라떼,coffee,10,59000,57820
2026-04-23,콜드브루,coffee,9,50400,49392
2026-04-23,말차라떼,non_coffee,8,49600,48608
2026-04-23,레몬에이드,non_coffee,6,36600,35868
2026-04-23,소금빵,bakery,8,30400,29792
2026-04-23,휘낭시에,bakery,5,16000,15680
2026-04-23,크로플,bakery,4,27200,26656
2026-04-23,샌드위치,food,3,25500,24990
2026-04-24,아메리카노,coffee,35,157500,154350
2026-04-24,카페라떼,coffee,22,118800,116424
2026-04-24,바닐라라떼,coffee,12,70800,69384
2026-04-24,콜드브루,coffee,11,61600,60368
2026-04-24,말차라떼,non_coffee,10,62000,60760
2026-04-24,레몬에이드,non_coffee,7,42700,41846
2026-04-24,소금빵,bakery,10,38000,37240
2026-04-24,휘낭시에,bakery,6,19200,18816
2026-04-24,크로플,bakery,5,34000,33320
2026-04-24,샌드위치,food,4,34000,33320
2026-04-25,아메리카노,coffee,37,166500,163170
